"estado","Fecha Operación","Uso","Provincia","Propiedad","Potencia MW","Unidades","Coordenada Este","Coordenada Norte","Sistema Eléctrico","rca","Región","nombre","Comuna","Datum"
"EN OPERACION","2000","19","COYHAIQUE","EDELAYSEN S.A.","1,98","3","257450,00","4953875,00","AYSEN","NA","XI REGION DE AYSEN","ALTO BAGUALES","COYHAIQUE","WGS84"
"EN OPERACION","S/I","19","MAGALLANES","METHANEX CHILE S.A.","2,34","3","377009,00","4131812,00","MAGALLANES","RCA 259/2009","XII REGION DE MAGALLANES Y LA ANTARTICA CHILENA","CABO NEGRO, FASE I","PUNTA ARENAS","WGS84"
"EN OPERACION","2007","19","CHOAPA","ENDESAECO S.A.","18,20","11","249619,00","6535453,00","SIC","RCA 63/2007 / RCA 150/2006","IV REGION DE COQUIMBO","CANELA","CANELA","WGS84"
"EN OPERACION","2009","19","CHOAPA","ENDESAECO S.A.","60,00","40","250311,00","6533875,00","SIC","RCA 296/2008","IV REGION DE COQUIMBO","CANELA II","CANELA","WGS84"
"EN OPERACION","2014","19","LIMARI","PARQUE EOLICO EL ARRAYAN SpA","115,00","50","241257,00","6613922,00","SIC","RCA 77/2010","IV REGION DE COQUIMBO","EL ARRAYAN","OVALLE","WGS84"
"EN OPERACION","S/I","19","COYHAIQUE","EMPRESA ELECTRICA DE AYSEN S.A.","1,40","6","266174,00","5009949,00","AISLADO","NA","XI REGION DE AYSEN","EL TOQUI","COYHAIQUE","WGS84"
"EN OPERACION","2014","19","BIOBIO","AELA EOLICA NEGRETE SpA","33,00","22","191176,00","5842735,00","SIC","RCA 31/2012","VII REGION DEL BIOBIO","EOLICA CUEL","LOS ANGELES","WGS84"
"EN OPERACION","2014","19","CHILOE","ALBA S.A.","36,00","20","92200,00","5308492,00","SIC","RCA 351/2011","X REGION DE LOS LAGOS","EOLICA SAN PEDRO","DALCAHUE","WGS84"
"EN OPERACION","2009","19","ARAUCO","CRISTALERIAS TORO S.A.I.C","7,00","3","90041,00","5818091,00","SIC","RCA 069/2009","VIII REGION DEL BIOBIO","LEBU","LEBU","WGS84"
"EN OPERACION","2014","19","LIMARI","PARQUE EOLICO LOS CURUROS LTDA.","109,60","57","251316,00","6563766,00","SIC","RCA 213/2009","IV REGION DE COQUIMBO","LOS CURUROS","OVALLE","WGS84"
"EN OPERACION","2010","19","LIMARI","EOLICA MONTE REDONDO S.A.","48,00","23","246416,00","6558825,00","SIC","RCA 228/2007","IV REGION DE COQUIMBO","MONTE REDONDO","OVALLE","WGS84"
"EN OPERACION","2011","19","ELQUI","CIA. BARRICK CHILE GENERACION LTDA.","20,00","10","300204,00","6749636,00","SIC","RCA 186 /30/10-2007 - RCA 303/2008","IV REGION DE COQUIMBO","PUNTA COLORADA","LA HIGUERA","WGS84"
"EN OPERACION","2014","19","CHOAPA","PUNTA PALMERAS S.A","45,00","15","248507,00","6541405,00","SIC","RCA 222/2009","IV REGION DE COQUIMBO","PUNTA PALMERAS","CANELA","WGS84"
"EN OPERACION","2013","19","LIMARI","ENEL GREEN POWER CHILE","90,00","45","252547,00","6584496,00","SIC","RCA 158/2009","IV REGION DE COQUIMBO","TALINAY ORIENTE","OVALLE","WGS84"
"EN OPERACION","2015","19","ANTOFAGASTA","PARQUE EOLICO TAL TAL S.A","99,00","33","411027,00","7227119,00","SIC","RCA 166/2013","II REGION DE ANTOFAGASTA","TALTAL","TALTAL","WGS84"
"EN OPERACION","2010","19","CHOAPA","NORVIND S.A.","46,00","23","252642,00","6531344,00","SIC","RCA 80/2008","IV REGION DE COQUIMBO","TOTORAL","CANELA","WGS84"
"EN OPERACION","2013","19","CARDENAL CLARO","ENERGIAS UCUQUER S.A.","7,20","4","259083,00","6229869,00","SIC","RCA 99/2012","VI REGION DEL LIBERTADOR BERNARDO OHIGGINS","UCUQUER","LITUECHE","WGS84"
"EN OPERACION","2014","19","CARDENAL CLARO","ENERGIAS UCUQUER S.A.","10,75","5","257386,00","6230295,00","SIC","RCA 99/2012","VI REGION DEL LIBERTADOR BERNARDO OHIGGINS","UCUQUER 2","LITUECHE","WGS84"
"EN OPERACION","2014","19","EL LOA","SOCIEDAD PARQUE EOLICO VALLE DE LOS VIENTOS S.A.","90,00","45","517868,00","7514076,00","SING","RCA 138/2010","II REGION DE ANTOFAGASTA","VALLE DE LOS VIENTOS","CALAMA","WGS84"
