PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Name,CO2_annual_reported,CO2_tCO2/MWh
1002177,Arpachay-1,Hydro,20.5,,,2014,,AzerEnerji,,,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,,,,,,,,,,Azerbaijan,,,,,,,,,,,Arpaçay-1 SES,,
1002177,Arpachay-2,Hydro,1.4,,,2014,,AzerEnerji,,,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,,,,,,,,,,Azerbaijan,,,,,,,,,,,Arpaçay-2 SES,,
1002180,Azerbaijani,Hydro,22,,,1974,,AzerEnerji,,,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,,,,,,,,,,Azerbaijan,,,,,,,,,,,Araz SES,,
1002184,Fizuli,Hydro,25,,,2012,,AzerEnerji,,,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,,,,,,,,,,Azerbaijan,,,,,,,,,,,Füzuli SES,,
1002185,Goychay,Hydro,3.1,,,2015,,AzerEnerji,,,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,,,,,,,,,,Azerbaijan,,,,,,,,,,,Göyçay KSES,,
1002186,Gusar,Hydro,1,,,2012,,AzerEnerji,,,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,,,,,,,,,,Azerbaijan,,,,,,,,,,,Qusar-1 KSES,,
1002187,Ismayilli,Hydro,1.6,,,2013,,AzerEnerji,,,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,,,,,,,,,,Azerbaijan,,,,,,,,,,,İsmayıllı-1 KSES,,
1002190,Mingechevir,Hydro,402,,,1953,,AzerEnerji,755,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Mingəçevir SES,,
1002191,Nakhchivan ES,Natural Gas,151,,CCGT,2006,,AzerEnerji,784,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Naxçıvan ES,,
1002193,SES Bilav,Hydro,22,,,2010,,AzerEnerji,,,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,,,,,,,,,,Azerbaijan,,,,,,,,,,,Biləv SES,,
1002194,SES Takhtakorpu,Hydro,25,,,2013,,AzerEnerji,,,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,,,,,,,,,,Azerbaijan,,,,,,,,,,,Taxtakörpü SES,,
1002197,Shamkir,Hydro,405,,,1983-2014,,AzerEnerji,632,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Şəmkir SES,,
1002201,Varvara,Hydro,16,,,1957,,AzerEnerji,,,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,,,,,,,,,,Azerbaijan,,,,,,,,,,,Varvara SES,,
1002202,Vaykhir,Hydro,5,,,2006,,AzerEnerji,,,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,,,,,,,,,,Azerbaijan,,,,,,,,,,,Vayxır SES,,
1002188,Janub,Natural Gas,780,Shivran,CCGT,2013,2x390,AzerEnerji,,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,Oil,,,,,Kura River,,Cənub ES,,
1002178,Astara ES,Natural Gas,87,,OCGT,2006,,AzerEnerji,290.1,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Astara ES,,
1002181,Baku ES,Natural Gas,105,,OCGT,2007,12x8.75,AzerEnerji,572,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Bakı ES,,
1002182,Baku TEC,Natural Gas,107,,OCGT,2000,,AzerEnerji,547,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Bakı İEM,,
1002183,Boyuk Shor,Natural Gas,385,,OCGT,2015,,AzerEnerji,,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,,,
1002189,Khachmaz ES,Natural Gas,87,,OCGT,2006,,AzerEnerji,385,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Xaçmaz ES,,
1002192,Sangachal ES,Natural Gas,299,,OCGT,2008,,AzerEnerji,"1,464",Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Səngəçal ES,,
1002195,Shahdagh ES,Natural Gas,104,,OCGT,2009,,AzerEnerji,336,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Şahdağ ES,,
1002196,Shaki ES,Natural Gas,87,,OCGT,2006,,AzerEnerji,308,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Şəki ES,,
1002198,Shimal,Natural Gas,400,,CCGT,2002,,AzerEnerji,"2,019",Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,40.4995,50.20769,,,,,Once Through,Caspian Sea,,Şimal ES,,
1002199,Sumqayit,Natural Gas,525,,CCGT,2009,,AzerEnerji,,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Sumqayıt ES*,,
1002200,Temiz Sheher,Natural Gas,40,,OCGT,2013,,AzerEnerji,,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,,,
1002203,Yenikend,Hydro,150,,,2000,,AzerEnerji,277,Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,,,,,,,,,,Yenikənd SES,,
1002179,Azerbaijan TPP,Oil,2400,Mingcevir,Sub-critical Thermal,1981-1990,8x300,AzerEnerji,"8,126",Generation in Fichtner report is from 2012,AzerEnerji,http://www.azerenerji.gov.az/index.php?option=com_content&view=article&id=91&Itemid=112&lang=az,Fichtner (for generation and plant type),http://www.inogate.org/documents/3_FICHT-11527706-v2-Final_Report_Azerbaijan.pdf,,,,,,,,Azerbaijan,,40.78,46.9901,,,,,Once Through,Yuxari Qarabag kanali River,,Azərbaycan İES,,
