PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Name,CO2_annual_reported,CO2_tCO2/MWh
1008041,BRIKEL 1,Coal,200,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.154555,25.906814,,,,,,,,,,
1008042,DEVEN,Coal,132,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,43.196359,27.636752,,,,,,,,,,
1008043,EVN PLOVDIV,Coal,105,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,,,,,,,,,,,,
1008044,LUKOIL NEFTO,Coal,257,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,,,,,,,,,,,,
1008045,REPUBLIKA PK,Coal,105,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.606429,23.078445,,,,,,,,,,
1008046,RUSE,Coal,180,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,23.866241,26.009316,,,,,,,,,,
1008047,SVILOZA,Coal,120,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,,,,,,,,,,,,
1008048,IVAILOVGRAD,Hydro,114,,Dam with Reservoir,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,41.583862,26.107533,,,,,,,,,,
1008049,KARDZHALI,Hydro,110,,Dam with Reservoir,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,41.633409,25.338059,,,,,,,,,,
1008050,MOMINA KLISU,Hydro,120,,Dam with Reservoir,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.232024,23.949392,,,,,,,,,,
1008051,PESHTERA,Hydro,135,,Dam with Reservoir,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.013194,24.257405,,,,,,,,,,
1008052,SESTRIMO,Hydro,240,,Dam with Reservoir,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.208314,23.915829,,,,,,,,,,
1008053,KOZLODUY,Nuclear,2000,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,43.7438,23.77233,,,,,,,,,,
1008054,PSBELMEKEN,Hydro,375,,Pumped Storage,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.199561,23.858585,,,,,,,,,,
1008055,PSCHAIRA GEN,Hydro,864,,Pumped Storage,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.160298,23.861188,,,,,,,,,,
1008056,PSORFEUS GEN,Hydro,160,,Pumped Storage,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,,,,,,,,,,,,
1008057,TEC BOBOVDOL EAD,Coal,570,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.285508,23.031871,,,,,,,,,,
1008058,TEC MARITSA 3 AD,Coal,120,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.05321,25.62315,,,,,,,,,,
1008059,TOPLO RUSE,Coal,110,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.25687,26.13602,,,,,,,,,,
1008060,Maritsa Iztok 2,Coal,1604,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.05321,25.62315,,,,,,,,,,
1008061,Maritsa Iztok 3,Coal,908,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,42.1421,26.00253,,,,,,,,,,
1008062,SVETI NIKOLA,Wind,156,,Onshore,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Bulgaria,,43.422902,28.376047,,,,,,,,,,
