PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023038,Palmarejo,Heavy Fuel oil,66.23,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Cape Verde,,14.90000000000,-23.55000000000,,,,,,,,,,
1023039,Palmeira Electra,Heavy Fuel oil,11.575,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,Operating,Cape Verde,,16.76666670000,-22.98333330000,,,,,,,,,,
1023040,Praia,Diesel,10,,,,,,,,ECOREX,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=5,,,,,,,,,Operating,Cape Verde,,14.92800000000,-23.54500000000,,,,,,,,,,
1023041,Tarrafal 2,Diesel,4.5,,,,,,,,ECOREX,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=6,,,,,,,,,Operating,Cape Verde,,,,,,,,,,,,,
1023042,Sal Rei,Diesel,11.56,,,,,,,,ECOREX,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=7,,,,,,,,,Operating,Cape Verde,,,,,,,,,,,,,
1023043,Porto Novo,Diesel,9.77,,,,,,,,ECOREX,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=8,,,,,,,,,Operating,Cape Verde,,,,,,,,,,,,,
1023044,Cabeolica Sal,Wind,7.65,,,,,,,,ECOREX,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=9,,,,,,,,,Operating,Cape Verde,,,,,,,,,,,,,
1023045,Cabeolica Santiago,Wind,9.35,,,,,,,,ECOREX,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=10,,,,,,,,,Operating,Cape Verde,,,,,,,,,,,,,
1023046,Cabeolica Sao Vicente,Wind,5.95,,,,,,,,ECOREX,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=11,,,,,,,,,Operating,Cape Verde,,,,,,,,,,,,,
1023047,Electra Solar- Palmarejo,Solar,5,,,,,,,,ECOREX,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=12,,,,,,,,,Operating,Cape Verde,,,,,,,,,,,,,
1023048,Electra Solar Sal,Solar,2.5,,,,,,,,ECOREX,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=13,,,,,,,,,Operating,Cape Verde,,,,,,,,,,,,,
1023049,Lazareto,Heavy Fuel oil,32.44,,,,,,,,ECOREX,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=14,,,,,,,,,Operating,Cape Verde,,,,,,,,,,,,,
1023050,Matiota,Heavy Fuel oil,10.91,,,,,,,,ECOREX,http://www.ecowrex.org/resources/energy_generators?title_field_value=&&&&&items_per_page=20&page=15,,,,,,,,,Operating,Cape Verde,,,,,,,,,,,,,
