PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000002,Congo- Etain,Hydro,29.5,Congo River,,,,,,,African Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,,,,,,,,,,
1000003,Inga 1,Hydro,350,Congo River,,1972,,,,,African Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,,,,,,,,,,
1000003,Inga 2,Hydro,1424,Congo River,,1981,,,,,African Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,,,,,,,,,,
1000004,Koni,Hydro,42,Lufira River,,1950,,,,,African Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,,,,,,,,,,
1000005,Mwadingusha,Hydro,68,Lufira River,,1930,,,,,African Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,,,,,,,,,,
1000006,N'Seke,Hydro,260,Lualaba River,,1956,,,,,African Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,,,,,,,,,,
1000007,Nzilo,Hydro,108,Lualaba River,,1953,,,,,African Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,,,,,,,,,,
1000008,Piana- Mwanga,Hydro,29,Lubilanji River,,,,,,,African Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,,,,,,,,,,
1000009,Ruzizi I,Hydro,29,Lake Kivu,,1958,,,,,African Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,,,,,,,,,,
1000009,Ruzizi II,Hydro,13,Lake Kivu,,1989,,,,,African Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,,,,,,,,,,
1000010,Zongo 1,Hydro,75,Inkisi River,,1945,,,,,African Hydropower Resources Database,http://afrec-energy.org/En/administration/hydro/index.php,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,,,,,,,,,,
1023507,Pointe-Noire,Diesel,13.24,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,Operating,Democratic Republic of the Congo,Southern African Grid,-4.7947222,11.8461111,,,,,,,,
1023508,M'Sha,Hydro,68,,,,,,,,African Development Bank Group,http://infrastructureafrica.org/documents/tools/list/arcgis-shape-files,,,,,,,,,,-10.752,27.245,,,,,,,,
