PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1002788,Bjarnarflag,Geothermal,3,,,1969,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,65.64076,-16.8565,,,,,,,,,0,0
1002796,Hellisheiði,Geothermal,213,,,2006,,Orkuveita Reykjavíkur,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.03725,-21.4007,,,,,,,,,0,0
1002798,Húsavík,Geothermal,2,,,2000,,Orkuveita Húsavíkur,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,,,,,,,,,,,0,0
1002800,Krafla,Geothermal,60,,,1977,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,65.70347,-16.7735,,,,,,,,,0,0
1002805,Nesjavellir,Geothermal,120,,,1998,,Orkuveita Reykjavíkur,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.10805,-21.2567,,,,,,,,,0,0
1002806,Reykjanes,Geothermal,100,,,1977,,HS Orka,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,63.82507,-22.6848,,,,,,,,,0,0
1002810,Svartsengi,Geothermal,76,,,1977,,HS Orka,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,63.8788,-22.4332,,,,,,,,,0,0
1002787,Andakíl,Hydro,8,,,1947,,Orkuveita Reykjavíkur,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.53855,-21.695,,,,,,,,,0,0
1002789,Bjólfsvirkjun,Hydro,7,,,2008,,Íslensk Orkuvirkjun ehf,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,,,,,,,,,,,0,0
1002790,Blanda,Hydro,150,,Pumped Storage,1991,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,65.41582,-19.8198,,,,,,,,,0,0
1002791,Búðarháls,Hydro,95,,Pumped Storage,,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.23552,-19.3707,,,,,,,,,0,0
1002792,Búrfell,Hydro,270,,Pumped Storage,1969,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.10523,-19.8335,,,,,,,,,0,0
1002793,Elliðaárvirkjun,Hydro,3,,,1921,,Orkuveita Reykjavíkur,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,,,,,,,,,,,0,0
1002794,Fljótsdalsvirkjun (Kárahnjúkar ),Hydro,690,,Dam with Reservoir,2008,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.94706,-15.7931,,,,,,,,,0,0
1002795,Gúlsvirkjun,Hydro,3,,,2008,,Íslensk Orkuvirkjun ehf,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,,,,,,,,,,,0,0
1002797,Hrauneyjafoss,Hydro,210,,Dam with Reservoir,1981,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.20089,-19.2406,,,,,,,,,0,0
1002799,Írafoss,Hydro,48,,Dam with Reservoir,,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.08755,-21.0077,,,,,,,,,0,0
1002801,Lagarfoss,Hydro,27,,Run of the River,1975,,"Rafmagnsveitur ríkisins, NA",,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,65.50685,-14.3656,,,,,,,,,0,0
1002802,Laxárvirkjun 3,Hydro,14,,Run of the River,1973,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,65.81824,-17.314,,,,,,,,,0,0
1002803,Ljósafossvirkjun,Hydro,14.6,,Dam with Reservoir,1937,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.09438,-21.0107,,,,,,,,,0,0
1002804,Múlavirkjun,Hydro,3,,,2005,,Múlavirkjun ehf.,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,,,,,,,,,,,0,0
1002807,Sigalda,Hydro,150,,,1977,,Sigölduvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.17326,-19.1272,,,,,,,,,0,0
1002808,Steingrímsstöð,Hydro,26,,,1959,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.12898,-21.0266,,,,,,,,,0,0
1002809,Sultartangi,Hydro,120,,Pumped Storage,1999,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.16723,-19.6212,,,,,,,,,0,0
1002812,Þverá,Hydro,2,,,1953,,Orkubú Vestfjarða,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,,,,,,,,,,,,
1002811,Vatnsfell,Hydro,90,,,2001,,Landsvirkjun,,,Iceland Energy Portal,http://gilslaug.orkugardur.is/vefsja/orkuvefsja_en.html,,,,,,,Operating,Iceland,Iceland National Grid,64.19659,-19.0341,,,,,,,,,0,0
